Kod SZS,Rodzaj stacji,rząd stacji,typ stacji,rok założenia,rok likwidacji,nazwa stacji,długość geograficzna,szerokość geograficzna,informacje dodatkowe
250180460,O,V,Zlikwidowana,1957,2015,ADAMOWICE,182008,500747,stację zlikwidowano 1.01.2015
254230010,O,V,Czynna,1948,0,ALEKSANDRÓWKA,230625,541622, 
250190430,O,V,Zlikwidowana,1958,2015,ALWERNIA,193214,500254,stację zlikwidowano 1.01.2015
250210030,O,V,Czynna,1949,0,ANNOPOL,215003,505322, 
249199978,K,IV,Zlikwidowana,1951,1981,ANTAŁÓWKA,195800,4918, 
253229988,O,V,Zlikwidowana,1971,1992,AUGUSTÓW,2259,5351, 
252189994,O,V,Zlikwidowana,1949,1981,BABIAK,1840,5221, 
253210080,O,V,Zlikwidowana,1973,2015,BABIĘTA,211506,534012,stację zlikwidowano 1.01.2015
252150270,K,IV,Czynna,2007,0,BABIMOST,154812,520837,do 1_03_2013 była to stacja opadowa
252159995,K,IV,Zlikwidowana,1954,1981,BABIMOST,1549,5210, 
250170410,O,V,Zlikwidowana,1947,2015,BABORÓW,175836,500911,stację zlikwidowano 1.01.2015
252179996,O,V,Zlikwidowana,1945,1981,BACHORZEW,1734,5200, 
253220260,O,V,Czynna,1964,0,BACIUTY,225904,530311, 
254220080,O,V,Czynna,1952,0,BAKAŁARZEWO,223958,540528, 
250209983,O,V,Zlikwidowana,1973,1994,BALICE,2051,5033, 
249220170,K,IV,Czynna,1953,0,BALIGRÓD-MCHAWA,221701,492114,ATSM bez obserwatora
253199991,O,V,Zlikwidowana,1948,1992,BAŁOSZYCE,191700,534100, 
254220110,O,V,Zlikwidowana,2006,2014,BANIE MAZURSKIE,220150,541454,10.09.2014 stacje w jednej miejscowości zostały połączone i przeniesione do nowej lokalizacji
254220060,O,V,Czynna,1952,0,BANIE MAZURSKIE,220123,541506,stacja powstała 10.09.2014 po połączeniu 2 stacji w jednej miejscowości i przeniesieniu do nowej lokalizacji o ok. 1200 m na NNW od starej lokalizacji (stare wsp. – 220220 i 541449)
249190620,O,V,Czynna,1947,0,BAŃSKA WYŻNA,195824,492303, 
251189997,O,V,Zlikwidowana,1961,1981,BARANÓW,1800,5116, 
250210150,O,V,Zlikwidowana,1946,2015,BARANÓW SANDOMIERSKI,213147,502956,stację zlikwidowano 1.01.2015
250210070,O,V,Czynna,1983,0,BARANÓWEK,211519,504613,ATSO bez obserwatora
254210010,O,V,Czynna,1949,0,BARCIANY,212128,541245,02.07.2015 przeniesiona o około 18 m w kierunku W (stare wsp. 212129 i 541245)
252179999,O,V,Zlikwidowana,1949,1992,BARCIN,175600,525200, 
250160410,O,V,Czynna,1946,0,BARDO,164439,503033, 
253159992,O,V,Zlikwidowana,1947,1992,BARLINEK,151300,530000, 
253229994,O,V,Zlikwidowana,1963,1995,BARSZCZOWA GÓRA,2258,5358, 
250200010,O,V,Czynna,1949,0,BARTKÓW,203859,505843,ATSO bez obserwatora
249210170,K,IV,Czynna,1945,0,BARTNE,212044,493331,ATSM bez obserwatora
251210090,O,V,Czynna,1956,0,BARTODZIEJE,211159,513130, 
254200040,O,V,Czynna,1951,0,BARTOSZYCE,204752,541425,"8.11.2012 stacja przeniesiona ok . 1,5 km na pd-zach w 2012"
252190080,O,V,Zlikwidowana,1946,2015,BARUCHOWO,191425,522932,stację zlikwidowano 1.01.2015
253160050,O,V,Czynna,1948,0,BARWICE,162129,534453, 
249210240,K,IV,Czynna,1951,0,BARWINEK,214105,492552,ATSM bez obserwatora
251210270,O,V,Czynna,2007,0,BASINÓW,212126,514132,przeniesiona z m. Łękawica
250229988,O,V,Zlikwidowana,1948,1994,BATORZ,223000,505000, 
253190290,O,V,Zlikwidowana,2002,2015,BĄGART,192146,535754,stację zlikwidowano 1.02.2015
